patient,message,doctor
arebenti@icloud.com,The best doctor,nogin@att.net
arebenti@icloud.com1,The best doctor,nogin@att.net
heine@yahoo.com,Nice communication!!,euice@yahoo.com
nighthawk@gmail.com,Appreciate your help,curly@yahoo.com
jigsaw@comcast.net,Great job. Thank you.,liedra@yahoo.com
arebenti@icloud.com,The best doctor,nogin@att.net
metzzo@aol.com,Thanks),doormat@icloud.com
violinhi@msn.com,I will reccomend you for my friends.,chance@gmail.com
mccurley@sbcglobal.net,Cool doctor,lishoy@live.com
drjlaw@verizon.net,High professional.,graham@me.com
drjlaw@verizon.net,High professional.,graham@me.com
drjlaw@verizon.net,High professional 111.,graham@me.com
metzzo@aol.com,Thanks),doormat@icloud.com
jdhildeb@msn.com,Thank you.,brbarret@gmail.com
heine@yahoo.com,Nice communication!!,euice@yahoo.com
mccurley@sbcglobal.net,Nice communication!!,euice@yahoo.com
heine@yahoo.com,Nice communication!!,euice@yahoo.com
mccurley@sbcglobal.net,Nice communication!!,euice@yahoo.com
shazow@icloud.com,The best doctor 1,alhajj@sbcglobal.net
shazow@icloud.com,The best doctor 2,alhajj@sbcglobal.net
shazow@icloud.com,The best doctor 3,alhajj@sbcglobal.net
drjlaw@verizon.net,Thank you for your help.,brbarret@gmail.com
arebenti@icloud1.com,The best doctor1,euice@yahoo.com
arebenti@icloud2.com,The best doctor2,euice@yahoo.com
arebenti@icloud.com,The best doctor,nogin@att.net
arebenti@icloud.com1,The best doctor,nogin@att.net
heine@yahoo.com,Nice communication!!,euice@yahoo.com
nighthawk@gmail.com,Appreciate your help,curly@yahoo.com
jigsaw@comcast.net,Great job. Thank you.,liedra@yahoo.com
arebenti@icloud.com,The best doctor,nogin@att.net
metzzo@aol.com,Thanks),doormat@icloud.com
violinhi@msn.com,I will reccomend you for my friends.,chance@gmail.com
mccurley@sbcglobal.net,Cool doctor,lishoy@live.com
drjlaw@verizon.net,High professional.,graham@me.com
drjlaw@verizon.net,High professional.,graham@me.com
drjlaw@verizon.net,High professional 111.,graham@me.com
metzzo@aol.com,Thanks),doormat@icloud.com
jdhildeb@msn.com,Thank you.,brbarret@gmail.com
heine@yahoo.com,Nice communication!!,euice@yahoo.com
mccurley@sbcglobal.net,Nice communication!!,euice@yahoo.com
heine@yahoo.com,Nice communication!!,euice@yahoo.com
mccurley@sbcglobal.net,Nice communication!!,euice@yahoo.com
shazow@icloud.com,The best doctor 1,alhajj@sbcglobal.net
shazow@icloud.com,The best doctor 2,alhajj@sbcglobal.net
shazow@icloud.com,The best doctor 3,alhajj@sbcglobal.net
drjlaw@verizon.net,Thank you for your help.,brbarret@gmail.com
arebenti@icloud1.com,The best doctor1,euice@yahoo.com
arebenti@icloud2.com,The best doctor2,euice@yahoo.com
arebenti@icloud.com,The best doctor,nogin@att.net
arebenti@icloud.com1,The best doctor,nogin@att.net
heine@yahoo.com,Nice communication!!,euice@yahoo.com
nighthawk@gmail.com,Appreciate your help,curly@yahoo.com
jigsaw@comcast.net,Great job. Thank you.,liedra@yahoo.com
arebenti@icloud.com,The best doctor,nogin@att.net
metzzo@aol.com,Thanks),doormat@icloud.com
violinhi@msn.com,I will reccomend you for my friends.,chance@gmail.com
mccurley@sbcglobal.net,Cool doctor,lishoy@live.com
drjlaw@verizon.net,High professional.,graham@me.com
drjlaw@verizon.net,High professional.,graham@me.com
drjlaw@verizon.net,High professional 111.,graham@me.com
metzzo@aol.com,Thanks),doormat@icloud.com
jdhildeb@msn.com,Thank you.,brbarret@gmail.com
heine@yahoo.com,Nice communication!!,euice@yahoo.com
mccurley@sbcglobal.net,Nice communication!!,euice@yahoo.com
heine@yahoo.com,Nice communication!!,euice@yahoo.com
mccurley@sbcglobal.net,Nice communication!!,euice@yahoo.com
shazow@icloud.com,The best doctor 1,alhajj@sbcglobal.net
shazow@icloud.com,The best doctor 2,alhajj@sbcglobal.net
shazow@icloud.com,The best doctor 3,alhajj@sbcglobal.net
drjlaw@verizon.net,Thank you for your help.,brbarret@gmail.com
arebenti@icloud1.com,The best doctor1,euice@yahoo.com
arebenti@icloud2.com,The best doctor2,euice@yahoo.com
